name,track_number,acousticness,danceability,energy,liveness,loudness,tempo,valence,duration,taylors_version,performed_live,not_first_release,low_instrumentalness,medium_instrumentalness,spoken_section,Lover,Fearless (Taylor's Version),Speak Now (Taylor's Version),Red (Taylor's Version),folklore,reputation Stadium Tour Surprise Song Playlist,1989 (Taylor's Version),Speak Now World Tour Live,Red,Midnights,Fearless,Speak Now,1989,evermore,Taylor Swift,Live From Clear Channel Stripped 2008,reputation
Fifteen,0.15555555555555556,-1.956755805625903,0.48318042813455664,0.6225961538461539,-3.543101195031765,0.822084136847368,0.19650019012907255,0.19500883392226148,0.31700207891296434,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Lavender Haze,0.0,-1.160435085612789,0.7492354740061161,0.3822115384615385,-3.288253932748923,0.3871866295264624,0.20726221310240425,0.06647526501766785,0.11993184594611975,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
New Romantics (Taylor's Version),0.3333333333333333,-2.9394058169222577,0.6238532110091743,0.8858173076923077,-5.879164603427051,0.7107349475037498,0.3865933892480216,0.7294611307420494,0.17947448509397973,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Breathe (feat. Colbie Caillat) (Taylor’s Version),0.13333333333333333,-1.5056504965203499,0.40214067278287463,0.6105769230769231,-2.321619604087107,0.7030926362402686,0.5735297282947933,0.31316254416961137,0.25062903191238567,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
White Horse,0.08888888888888889,-1.0362621203490767,0.5122324159021406,0.26682692307692313,-4.623698600063852,0.5630312120562818,0.1765330501725511,0.20494699646643108,0.18858098116119076,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Karma,0.2222222222222222,-1.952315058463203,0.6100917431192661,0.6033653846153847,-0.9021260015493484,0.629883579744304,0.157290553096234,0.06570229681978798,0.12519771105253008,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Question...?,0.13333333333333333,-1.3402578757995798,0.7767584097859327,0.46153846153846156,-1.7578420687353018,0.5104635383186915,0.2930570602458046,0.07575088339222615,0.1374225765661502,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
epiphany,0.26666666666666666,-0.3020915608864155,0.16972477064220182,0.1790865384615385,-5.363496817854746,0.1585601028497965,0.18741704273958054,0.08348056537102475,0.30714974602970496,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Don’t You (Taylor’s Version) (From The Vault),0.5333333333333333,-0.6161329500043139,0.4892966360856268,0.4266826923076923,-4.455116654000799,0.3115491750589244,0.24276971423241664,0.4059187279151944,0.13324760496367263,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
evermore (feat. Bon Iver),0.3111111111111111,-0.0645773541566157,0.22477064220183487,0.18269230769230774,-4.3910432849941055,0.3740447110920649,0.4095308475451826,0.31205830388692585,0.33791980111018244,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
ivy,0.2,-0.15380747913031145,0.41590214067278286,0.513221153846154,-5.081517829414464,0.47375187486608106,0.14893922326892858,0.549469964664311,0.24433442637004654,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
