name,album,track_number,acousticness,danceability,energy,liveness,loudness,tempo,valence,popularity,duration,taylors_version,performed_live,not_first_release,low_instrumentalness,medium_instrumentalness,spoken_section,Midnights,Lover,reputation,Red (Taylor's Version),folklore,Speak Now (Taylor's Version),Fearless (Taylor's Version),Live From Clear Channel Stripped 2008,Speak Now,Fearless,1989,Taylor Swift,1989 (Taylor's Version),Red,evermore,Speak Now World Tour Live,reputation Stadium Tour Surprise Song Playlist
Mean (Taylor's Version),Speak Now (Taylor's Version),2.479318719827706,-1.0159063588536679,0.42966360856269115,0.6899038461538461,-2.8160001247352104,0.8602242696950219,0.6801329347185433,0.644434628975265,0.74,0.29340868636189466,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
The Story Of Us (Taylor's Version),Speak Now (Taylor's Version),2.772997332782901,-3.20262305311449,0.41590214067278286,0.7968750000000001,-7.917728968326555,0.9500749946432397,0.509504974400125,0.5881183745583038,0.73,0.34807360888531513,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Never Grow Up (Taylor's Version),Speak Now (Taylor's Version),3.0403220100313733,-0.1582001341458958,0.6758409785932722,0.2463942307692308,-2.7341032067916125,0.6290264981072781,0.40449222772171767,0.5870141342756183,0.68,0.39576762122644993,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Enchanted (Taylor's Version),Speak Now (Taylor's Version),3.2865561462399002,-2.702154792677939,0.40061162079510704,0.4975961538461539,-3.5514531279937547,0.8845082494107565,0.09806775978014642,0.1972173144876325,0.83,0.5096522472832705,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Better Than Revenge (Taylor's Version),Speak Now (Taylor's Version),3.515456451645638,-3.3551208216224016,0.38685015290519875,0.9218750000000001,-2.83004838482526,0.9242911220627099,0.5522329766157036,0.6930212014134276,0.75,0.25870136832190394,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Innocent (Taylor's Version),Speak Now (Taylor's Version),3.7298094704994864,-1.7547282811044262,0.42660550458715596,0.576923076923077,-3.489501788857555,0.7558745803871153,0.46534252703787077,0.12323321554770318,0.67,0.4114365964290367,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Haunted (Taylor's Version),Speak Now (Taylor's Version),3.9317461882290177,-2.8875359659427393,0.28134556574923547,0.9579326923076924,-2.4536368194291795,1.0,0.6682526043700867,0.3507067137809187,0.72,0.30609336451650054,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Last Kiss (Taylor's Version),Speak Now (Taylor's Version),4.122937206008276,-0.7308450959622819,0.46941896024464835,0.2980769230769231,-4.920217026336219,0.5321048496535962,0.08027211850505252,0.13537985865724383,0.72,0.5396028110152841,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Long Live (Taylor's Version),Speak Now (Taylor's Version),4.304719440836713,-2.6965420340556427,0.2018348623853211,0.639423076923077,-2.8585007760755814,0.8484393971859154,0.9642950980322536,0.04174028268551237,0.78,0.44303314815968353,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Ours (Taylor’s Version),Speak Now (Taylor's Version),4.478181504542924,-0.727177069276868,0.4464831804281346,0.4447115384615385,-4.558019446678068,0.5463181201342762,0.6512949062994864,0.34297703180212014,0.69,0.28795351971504785,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Superman (Taylor’s Version),Speak Now (Taylor's Version),4.6442230681944086,-3.092614620551207,0.44342507645259943,0.75,-4.661033879151223,0.888293693307621,0.45329176756307654,0.35181095406360424,0.66,0.36183799476379513,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Electric Touch (feat. Fall Out Boy) (Taylor’s Version) (From The Vault),Speak Now (Taylor's Version),4.80359725341891,-2.592147662539164,0.46483180428134563,0.8858173076923077,-3.6592634984253745,0.80065709592172,0.44720602751010147,0.2700971731448763,0.72,0.3458330265981846,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
When Emma Falls in Love (Taylor’s Version) (From The Vault),Speak Now (Taylor's Version),4.956941606873806,-1.4808401552711448,0.35321100917431186,0.7752403846153847,-3.7968129706924283,0.8055138918648669,0.0712677796635445,0.2137809187279152,0.7,0.31925371810190406,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
I Can See You (Taylor’s Version) (From The Vault),Speak Now (Taylor's Version),5.104801190058976,-2.0455976889298118,0.6896024464831804,0.7764423076923077,-7.260473232573192,0.7868723662595529,0.39019038353654634,0.8630742049469965,0.78,0.3585177047527904,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Castles Crumbling (feat. Hayley Williams) (Taylor’s Version) (From The Vault),Speak Now (Taylor's Version),5.247646096965831,-0.8996524828520147,0.5091743119266054,0.5432692307692307,-6.771157084040201,0.5703164059710021,0.5660093309946669,0.3761042402826855,0.71,0.42057447246273416,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Foolish One (Taylor’s Version) (From The Vault),Speak Now (Taylor's Version),5.385884953041019,-0.4554518657979566,0.654434250764526,0.5649038461538461,-4.558019446678068,0.8024426826655239,0.2049978341298528,0.5583038869257951,0.73,0.4313394604859063,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Timeless (Taylor’s Version) (From The Vault),Speak Now (Taylor's Version),5.519875463087212,-1.0428473136956622,0.5825688073394495,0.5612980769230769,-5.317184789227545,0.7187343761159917,0.5310713600954403,0.6764575971731449,0.72,0.4495189449065922,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Lavender Haze,Midnights,0.0,-1.2164299086152377,0.7522935779816513,0.4038461538461539,-3.918956289945192,0.38525819584315407,0.20555172879045033,0.041629858657243814,0.67,0.2248925483178645,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Maroon,Midnights,0.7829994753508476,-2.0262762921868163,0.6223241590214067,0.3353365384615385,-5.4386948327649325,0.548032283408328,0.28375029292506093,0.0008833922261484046,0.67,0.2548582128572049,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anti-Hero,Midnights,1.335679380127453,-1.679458437904091,0.6024464831804281,0.6382211538461539,-3.5938734277297315,0.6656667380901364,0.2047847977219307,0.5075088339222615,0.66,0.22167418875631642,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Snow On The Beach (feat. Lana Del Rey),Midnights,1.7774125794343936,-0.33502680902214627,0.6269113149847095,0.2560096153846154,-4.3958663391846535,0.16970216413113345,0.2976615703623749,0.1420053003533569,0.64,0.3263114579263195,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"You're On Your Own, Kid",Midnights,2.1515327684960113,-0.7758589407221137,0.6896024464831804,0.32211538461538464,-4.10284769648766,0.3998285836725949,0.36888674274433497,0.3893551236749117,0.67,0.20943498441785446,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Midnight Rain,Midnights,2.479318719827706,-0.33502680902214627,0.6284403669724771,0.30528846153846156,-4.459362304489769,0.3004071137775873,0.5116637433337358,0.17734098939929333,0.67,0.17277022422811283,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Question...?,Midnights,2.772997332782901,-1.3136561531866953,0.7614678899082569,0.46995192307692313,-2.054143891423892,0.5116063138347261,0.29030471307546457,0.08348056537102475,0.64,0.24029725939223032,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Vigilante Shit,Midnights,3.0403220100313733,-1.4888998092969252,0.9541284403669724,0.18509615384615388,-4.334096849697363,0.34968930790657815,0.08425589933319609,0.13206713780918727,0.66,0.15393007948687457,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Bejeweled,Midnights,3.2865561462399002,-1.9947379093241773,0.6911314984709479,0.514423076923077,-5.472383473741629,0.480394257553032,0.6810276876318162,0.42800353356890464,0.66,0.20935759278030402,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Labyrinth,Midnights,3.515456451645638,-0.212436178757869,0.382262996941896,0.22836538461538464,-4.186744914777582,0.030069280765659553,0.2975124448768294,0.10225265017667845,0.65,0.3109048592510378,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Karma,Midnights,3.7298094704994864,-1.8962611913537244,0.617737003058104,0.5961538461538461,-0.5730219228140745,0.629883579744304,0.15577932268624714,0.06426678445229682,0.66,0.22953038376814225,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
